"Field","Type","Null","Key","Default","Extra"
"CISCO_PID","varchar(50)","YES","MUL","",""
"CISCO_PN","varchar(50)","YES","","",""
"DateOfManufacture","varchar(20)","YES","","",""
"RecordID","varchar(6)","YES","","",""
"RecordVER","varchar(2)","YES","","",""
"ProductProcess","varchar(10)","YES","","",""
"TestCodeRevision","varchar(8)","YES","","",""
"ProcessBarcodeNum","varchar(31)","YES","","",""
"Interface","varchar(15)","YES","","",""
"StartDT","varchar(19)","YES","","",""
"EndDT","varchar(19)","YES","","",""
"TesterNumber","varchar(4)","YES","","",""
"CellNumber","varchar(4)","YES","","",""
"VendorSpecificNum","varchar(20)","YES","","",""
"VendorID","varchar(8)","YES","","",""
"ProductID","varchar(16)","YES","","",""
"ProductRevLevel","varchar(8)","YES","","",""
"InitialRevision","varchar(8)","YES","","",""
"StandardVersion","decimal(4,2)","YES","","",""
"MaxLBA","bigint","YES","","",""
"BlockSize","int","YES","","",""
"FinalBlockSize","int","YES","","",""
"Capacity","varchar(8)","YES","","",""
"POH","int","YES","","",""
"UnitSerialNumber","varchar(20)","YES","","",""
"ReadCount_LBA","int","YES","","",""
"WriteCount_LBA","int","YES","","",""
"DriveSpeed","varchar(20)","YES","","",""
"isFeature_48bitAddress","varchar(4)","YES","","",""
"GLIST_Count","bigint","YES","","",""
"PLIST_Count","bigint","YES","","",""
"GLIST_Limit","bigint","YES","","",""
"RD_ERR_CORR_DELAY","bigint","YES","","",""
"RD_ERR_CORR","bigint","YES","","",""
"RD_REW_REREAD","bigint","YES","","",""
"RD_ERR_CORR_TOTAL","bigint","YES","","",""
"RD_ERR_CORR_ALGOR","bigint","YES","","",""
"RD_ERR_UNCORR_TOTAL","bigint","YES","","",""
"WR_ERR_CORR_DELAY","bigint","YES","","",""
"WR_ERR_CORR","bigint","YES","","",""
"WR_REW_REREAD","bigint","YES","","",""
"WR_ERR_CORR_TOTAL","bigint","YES","","",""
"WR_ERR_CORR_ALGOR","bigint","YES","","",""
"WR_ERR_UNCORR_TOTAL","bigint","YES","","",""
"CURR_TEMP","int","YES","","",""
"TRIP_TEMP","int","YES","","",""
"SMART_IE","int","YES","","",""
"SSD_LIFE_LEFT","int","YES","","",""
"FailCode","varchar(4)","YES","","",""
"SenseInfo","varchar(10)","YES","","",""
